request_id,arrival_time,input_len,output_len,slo_deadline,kv_memory,hidden_memory
99,441.73496458183405,1405,1684,22.381610277435268,6178,3244
100,446.74642768407807,606,119,2.611627133483748,1450,762
101,447.47618356488084,824,272,2.2759828238000295,2192,1151
102,451.4384243440305,166,267,1.7923393055730332,866,455
103,459.47066506267265,540,227,1.9351725888691689,1534,806
104,465.3635866227127,336,366,2.4924037897147886,1404,738
105,472.2300459957252,2565,1177,7.784846688781723,7484,3930
106,474.31988849569353,2917,1600,16.472809347167892,9034,4743
107,476.336487705848,557,182,1.47615955490436,1478,776
108,478.41282129459745,751,208,1.8458155247738965,1918,1007
109,478.9459780057638,3235,558,7.11798212097584,7586,3983
110,487.8950521857122,1818,1750,24.41831347645378,7136,3747
111,493.092430548919,148,223,3.1585961158485505,742,390
112,494.65121210272434,897,146,1.9806964917114587,2086,1096
113,501.97205733714,2709,1390,11.781434608469391,8198,4304
114,504.8381750538864,2014,1337,15.415589875796323,6702,3519
115,507.96535038559324,895,225,2.0934261500016995,2240,1176
116,511.8035411524898,2668,580,6.893939365263421,6496,3411
117,516.8402240002499,2717,610,8.436480011716618,6654,3494
118,523.5795214293264,493,230,3.1778234361377526,1446,760
119,528.0692076895501,330,359,3.269287724009947,1378,724
120,541.4008089112581,355,202,1.3185109586532964,1114,585
121,542.4003328067575,677,301,1.8382338276773929,1956,1027
122,557.02658965687,1435,577,4.962184447605521,4024,2113
123,562.2709690702612,477,481,3.6281496571331546,1916,1006
124,562.8222425935979,273,192,2.623917994845485,930,489
125,575.7262370860867,2177,1531,10.246634857205674,7416,3894
126,576.8554539965861,199,394,4.227393395764257,1186,623
127,586.354806687267,492,90,0.8854641854986678,1164,612
128,589.4056070534848,420,87,1.0246414561226658,1014,533
129,597.6569248290858,685,324,2.817010535399091,2018,1060
130,603.5239668150355,562,254,2.2643692010758922,1632,857
131,603.911143817189,400,138,1.1696455442496154,1076,565
132,610.978525166537,786,182,1.979915587987415,1936,1017
133,614.1310487465023,2507,1067,10.917137316785903,7148,3753
134,628.5447100976772,3349,1416,8.272165999723475,9530,5004
135,629.9977720244077,3504,1187,10.436719829281795,9382,4926
136,637.3629656852266,897,205,1.8975871102599178,2204,1158
137,654.7244232725885,2150,1511,8.914706926335398,7322,3845
138,656.0999549127289,2945,687,5.4209982316832965,7264,3814
139,669.5573170185374,1974,1710,10.582805143647933,7368,3869
140,671.6249887573463,2981,926,8.800479396726383,7814,4103
141,673.5539857095691,203,290,2.8290509435107793,986,518
142,678.1565360668137,143,297,2.310320936853405,880,462
143,692.1806675381603,2538,1714,20.00467296045633,8504,4465
144,692.2124535301376,2446,1054,11.196800250229352,7000,3675
145,692.4556735571758,263,259,1.4491934802988782,1044,549
146,700.1193022536062,525,405,3.061788865340812,1860,977
147,700.6864748451524,256,88,1.424944772251412,688,362
148,709.1483569432903,953,1491,9.5275065276274,4888,2567
149,711.034829912359,1234,1254,7.449302952978739,4976,2613
150,737.5637517387372,3278,544,5.507169627349928,7644,4014
151,742.634256657794,401,235,1.6115514980747434,1272,668
152,742.6910494505764,867,87,1.59053733588962,1908,1002
153,746.5783239703753,2696,1817,14.150076111221383,9026,4739
154,748.2979531944019,879,476,6.2852000018964835,2710,1423
155,753.7825997622626,987,1208,5.780785940636612,4390,2305
156,754.3226663603288,1831,1235,13.098362012130675,6132,3220
157,758.5053838774772,647,271,2.0656078256699684,1836,964
158,762.5185672893708,880,466,5.866654864706513,2692,1414
159,770.0523329497007,815,62,1.9097408142868604,1754,921
160,770.4488199557459,791,421,4.045433432430701,2424,1273
161,772.0940446308107,2978,957,12.533265261215043,7870,4132
162,783.6428673782253,209,90,0.643011582834036,598,314
163,786.3986730883142,623,240,3.473078713486199,1726,907
164,795.850589289153,855,424,5.787793432818005,2558,1343
165,801.8723484951175,2693,617,4.343431256199286,6620,3476
166,809.1228810849269,790,361,4.374338147101287,2302,1209
167,809.3689968419726,3223,901,6.188021727295123,8248,4331
168,811.533742886975,375,181,1.18196738167239,1112,584
169,818.9822927151623,733,248,3.0747539224270093,1962,1031
170,821.6398447045218,607,71,1.9860383140281614,1356,712
171,824.951417957349,678,124,2.3853476394269157,1604,843
172,827.8280235691758,137,432,4.544473009990335,1138,598
173,837.2335743493599,368,312,1.9816449498042858,1360,714
174,840.6329827291473,2021,1530,15.542375217894694,7102,3729
175,845.8255892586053,801,90,2.731135635920606,1782,936
176,847.0328768368609,829,493,4.813228075649818,2644,1389
177,850.969283492031,1163,1020,6.025392408031253,4366,2293
178,859.3700503105921,490,131,1.1770824388418706,1242,653
179,859.7420666976955,518,132,1.4388690570167175,1300,683
180,864.4004319180624,800,504,6.91245037282703,2608,1370
181,864.7078252263876,622,470,2.6885593710655358,2184,1147
182,874.9365684012693,406,216,1.822028906739912,1244,654
183,895.5760748721259,341,389,3.7808378795842748,1460,767
184,896.3739127167812,700,277,3.627406832306409,1954,1026
185,897.8014867394988,449,241,1.948576960689558,1380,725
186,902.509743660775,186,417,4.237619048189946,1206,634
187,905.7970673872052,3296,1557,16.168269556952726,9706,5096
188,907.7750242478759,368,470,3.3432987111618107,1676,880
189,908.4672863493856,717,384,3.111501801211736,2202,1157
190,911.065989396352,108,321,3.413868871163803,858,451
191,911.7938195852543,630,311,5.0170690514067555,1882,989
192,913.0294751064296,246,394,2.3663650375558998,1280,672
193,914.4999387400511,3135,529,5.135042211322853,7328,3848
194,921.0436376447465,203,387,3.0742778443102696,1180,620
195,926.8445728191987,714,174,3.6073433141959654,1776,933
196,938.1161085336418,726,329,5.520135680410478,2110,1108
197,939.0108100145052,795,401,3.0185740238898764,2392,1256
198,939.1284395414331,379,379,3.0256643094470252,1516,796
199,939.2071648231239,2649,1810,17.63612823575568,8918,4682
200,939.3123627115489,865,409,4.426891440498643,2548,1338
201,939.5329209409139,457,218,1.607912289311158,1350,709
202,946.9421096946221,3395,1563,17.79633397973573,9916,5206
203,948.2227742937,1372,928,5.166817635170285,4600,2415
204,954.1203905658726,997,1438,11.678026163460471,4870,2557
205,960.7099167671012,388,387,2.5572995745004388,1550,814
206,963.2295075843405,445,103,1.9757733874105752,1096,576
207,969.7982425501392,3074,1406,10.276745936493104,8960,4704
208,972.3235057387145,382,79,1.8752427030705345,922,485
209,973.3830941062193,2909,1087,11.9110787570244,7992,4196
210,982.5508764446878,750,195,1.8318441337641953,1890,993
211,988.5604098343241,1895,1661,11.927435711732793,7112,3734
212,990.261936644436,169,223,3.2956349207170335,784,412
213,995.439474238033,163,142,1.123669650682526,610,321
214,1004.2718334168369,457,372,2.9854487730149075,1658,871
215,1006.3778959513337,1011,1321,13.0479414566868,4664,2449
216,1009.1875266085361,715,182,2.2021719262311055,1794,942
217,1011.3968609942618,1048,681,4.505320340466546,3458,1816
218,1015.0873331645772,500,68,1.5802823599445899,1136,597
219,1024.2714028678276,404,180,1.2128724376102635,1168,614
220,1027.1779886902534,547,182,1.7799286835904817,1458,766
221,1043.5088232282367,3500,1347,9.288883203064666,9694,5090
222,1053.9672431999713,585,478,6.768349042172515,2126,1117
223,1058.523544409619,808,350,5.5015705393751135,2316,1216
224,1064.6463521411101,683,302,1.9314140260294939,1970,1035
225,1067.4549304010548,776,248,2.2491846701511395,2048,1076
226,1068.2298229742162,847,519,3.145625797405521,2732,1435
227,1073.0909009395737,2226,1833,14.97524974095105,8118,4262
228,1074.2896615590842,2895,1661,16.374843939378824,9112,4784
229,1085.3022957710893,402,386,2.593640078585243,1576,828
230,1089.0133848071637,601,432,2.399853923869494,2066,1085
231,1096.147129786217,103,113,0.7438000170652872,432,227
232,1098.0227918537412,448,88,0.9437740091735431,1072,563
233,1098.9516108111516,324,253,3.152743482920256,1154,606
234,1100.5240329343692,1481,1856,10.01860430908958,6674,3504
235,1104.0313443162552,105,358,2.6582741325789074,926,487
236,1104.8824622933682,2755,1655,11.776909942790509,8820,4631
237,1108.9933569777775,233,374,2.792625859891897,1214,638
238,1111.861752760796,753,429,3.4995050266728844,2364,1242
239,1113.4416553156,253,503,2.4908086121330433,1512,794
240,1129.7618953821782,682,200,1.514933574969234,1764,927
241,1141.2212497301377,759,80,1.9197131181607694,1678,881
242,1144.459150044626,782,191,3.746504507201634,1946,1022
243,1144.459923537935,234,117,1.2511551947931812,702,369
244,1159.8144011275626,2881,1293,17.31967065498689,8348,4383
245,1163.1697150483783,2010,695,4.848879736150467,5410,2841
246,1165.42886023796,895,481,6.402745959084054,2752,1445
247,1170.1695329385489,530,342,2.3563722308160275,1744,916
248,1170.4142711234767,774,201,3.241132102061701,1950,1024
249,1175.5079197864677,865,252,2.5411082228803155,2234,1173
250,1182.1527178552299,259,176,1.625495544061825,870,457
251,1187.3667269141588,177,172,1.554496172167149,698,367
252,1188.9141551399696,1588,1862,18.58036853049799,6900,3623
253,1190.1235405503276,3373,638,11.631331418910358,8022,4212
254,1190.4192193036467,297,94,1.570001232741625,782,411
255,1192.7318513869477,825,497,7.029243449269246,2644,1389
256,1197.4277251577848,405,126,2.2819435757802733,1062,558
257,1209.0270524084192,224,292,4.015495907747028,1032,542
258,1210.4865902016102,956,732,9.98006888217672,3376,1773
259,1215.8785497576232,394,163,2.2174663981263256,1114,585
260,1216.297835488601,657,313,2.7109844772028233,1940,1019
261,1224.4149058854473,3493,942,11.22036513908115,8870,4657
262,1226.7828079103942,783,201,1.9545735966692286,1968,1034
263,1228.286095702153,870,195,3.2353787173965247,2130,1119
264,1231.546656733527,806,497,4.168603244820688,2606,1369
265,1232.3870603060795,582,319,1.8018801675530736,1802,947
266,1232.6801408148253,318,464,2.7063235160039483,1564,822
267,1235.4070435128351,2950,1655,21.120481972709126,9210,4836
268,1239.424155634821,178,135,1.2433295751150508,626,329
269,1245.963368629083,623,315,2.0070089341781077,1876,985
270,1257.67377909485,685,311,5.209620397291566,1992,1046
271,1259.4572812544832,1312,841,7.145180468998708,4306,2261
272,1260.154206649819,460,102,1.3072936209427495,1124,591
273,1269.9389994600956,557,287,2.6058409113463212,1688,887
274,1272.5789824388216,793,253,2.0831703892809834,2092,1099
275,1282.968475258297,2808,1529,18.62962384559874,8674,4554
276,1285.321324967521,780,495,6.681475303841643,2550,1339
277,1285.8987466708295,901,1347,17.905012620650307,4496,2361
278,1291.645896552569,532,314,4.811761049801383,1692,889
279,1296.496000749716,732,455,4.949281188502343,2374,1247
